"protein_Id","glucose_r1","glucose_r2","Psfilm_r1","Psfilm_r2","Psfilm_r3","Psfoam_r1","Psfoam_r2","Psfoam_r3"
"g102196",23.6474163001788,23.8394418801947,23.5122889918519,23.6429093587175,29.6170936468299,24.1975684363874,25.838508685899,27.5857706814896
"g107624",NA,NA,NA,NA,23.4764098070716,NA,NA,NA
"g115771",NA,NA,NA,NA,NA,NA,22.3724768577534,NA
"g117560",24.6743087781688,26.3499037906964,25.4628182071729,24.0592587158741,25.0286893977109,27.4266102716286,27.3415066400656,27.971413172767
"g118796",29.3876539491234,31.0456164201949,30.8945087752286,29.3378814096294,29.7444808503716,30.0318241132675,29.6972946161624,29.4625083372246
"g133288",24.3231777132963,25.1278663600092,24.6107480415513,23.4481459582287,24.3619715970685,24.2336081520781,22.903576579619,23.7854445962791
"g99273",NA,NA,26.1604093847493,NA,NA,24.8624251963586,NA,25.3730399116779
"g240010",NA,NA,NA,NA,22.2920864653991,NA,21.5875092500223,NA
