"Resource","Relative Path","Experiment","Replicate"
"1634345","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895.d.zip","B","1"
"1634346","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894.d.zip","B","2"
"1634349","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893.d.zip","B","3"
"1634347","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892.d.zip","A","4"
"1634348","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891.d.zip","A","5"
"1634350","p3061/Proteomics/TIMSTOF_1/tobiasko_20200426/zip/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890.d.zip","A","6"
