ARP5	ACTR5	ACTR5	417
ARP5	ACTR5	RUVBL2	73
ARP5	ACTR5	RUVBL1	50
ARP5	ACTR5	INO80C	26
ARP5	ACTR5	ACTR8	32
ARP5	ACTR5	CCT2	16
ARP5	ACTR5	CCT5	31
ARP5	ACTR5	ACTL6A	16
ARP5	ACTR5	CCT3	16
ARP5	ACTR5	STK38	23
ARP5	ACTR5	ACTB	13
ARP5	ACTR5	HSPA1B	29
ARP5	ACTR5	CCT7	19
ARP5	ACTR5	INO80B	9
ARP5	ACTR5	INO80E	8
ARP5	ACTR5	CCT8	15
ARP5	ACTR5	NFRKB	39
ARP5	ACTR5	HSPA8	22
ARP5	ACTR5	TUBB2B	6
ARP5	ACTR5	TUBB2C	6
ARP5	ACTR5	TUBB	6
ARP5	ACTR5	CCT6A	19
ARP5	ACTR5	HIST1H1C	6
ARP5	ACTR5	HIST1H1E	6
ARP5	ACTR5	DYNLL1	2
ARP5	ACTR5	ACTA1	11
ARP5	ACTR5	MATR3	13
ARP5	ACTR5	MCRS1	7
ARP5	ACTR5	YY1	5
ARP5	ACTR5	NPM1	12
ARP5	ACTR5	HIST1H2BJ	2
ARP5	ACTR5	UCHL5	4
ARP5	ACTR5	H2AFZ	2
ARP5	ACTR5	EIF4B	6
ARP5	ACTR5	INO80D	10
ARP5	ACTR5	TCP1	8
ARP5	ACTR5	NONO	7
ARP5	ACTR5	CCT4	13
ARP5	ACTR5	TUBB6	5
ARP5	ACTR5	NPM3	1
ARP5	ACTR5	BCLAF1	11
ARP5	ACTR5	TFPT	13
ARP5	ACTR5	ERH	4
ARP5	ACTR5	RBM10	8
ARP5	ACTR5	PRPF31	7
ARP5	ACTR5	H1FX	1
ARP5	ACTR5	HMGB2	2
ARP5	ACTR5	SFPQ	5
ARP5	ACTR5	HNRNPL	3
ARP5	ACTR5	SPIN1	2
ARP5	ACTR5	HNRNPA1	2
ARP5	ACTR5	HSPA2	8
ARP5	ACTR5	PARP1	7
ARP5	ACTR5	HSPD1	4
ARP5	ACTR5	MOBKL1A	2
ARP5	ACTR5	THRAP3	11
ARP5	ACTR5	HSPA6	11
ARP5	ACTR5	HSPA1L	5
ARP5	ACTR5	DNAJA1	2
ARP5	ACTR5	FBL	4
ARP5	ACTR5	HNRNPH1	4
ARP5	ACTR5	HNRNPH2	4
ARP5	ACTR5	TUBB3	4
ARP5	ACTR5	SFRS2	2
ARP5	ACTR5	TUBA1C	2
ARP5	ACTR5	TUBA8	2
ARP5	ACTR5	TUBA1B	2
ARP5	ACTR5	TUBA1A	2
ARP5	ACTR5	TUBA4A	2
ARP5	ACTR5	C11orf84	1
ARP5	ACTR5	MAP1B	13
ARP5	ACTR5	HNRNPK	3
ARP5	ACTR5	CLASP2	7
ARP5	ACTR5	SF3A1	1
ARP5	ACTR5	NOP58	1
ARP5	ACTR5	SNRNP40	2
ARP5	ACTR5	HNRNPA2B1	1
ARP5	ACTR5	NOLC1	2
ARP5	ACTR5	DDX3X	2
ARP5	ACTR5	CHERP	2
ARP5	ACTR5	PSIP1	1
ARP5	ACTR5	KHDRBS1	1
ARP5	ACTR5	EEF1A1	1
ARP5	ACTR5	EEF1A2	1
ARP5	ACTR5	VIM	1
ARP5	ACTR5	WDR18	1
ARP5	ACTR5	KIF11	3
ARP5	ACTR5	ACTN4	2
ARP5	ACTR5	ACTN1	2
ARP5	ACTR5	RCC2	1
ARP5	ACTR5	E2F7	3
ARP5	ACTR5	DDX5	3
ARP5	ACTR5	STK38L	2
ARP5	ACTR5	HNRNPF	2
ARP5	ACTR5	EEF2	1
ARP5	ACTR5	HSPA5	1
ARP5	ACTR5	DDX21	1
ARP5	ACTR5	FLNA	6
ARP5	ACTR5	SMARCC1	1
ARP5	ACTR5	HNRNPU	4
ARP5	ACTR5	DDX17	1
ARP5	ACTR5	RIF1	3
ARP5	ACTR5	SMC1A	1
ARP5	ACTR5	DHX9	1
ARP5	ACTR5	SPTBN1	1
ARP5	ACTR5	CHD4	1
ARP5	ACTR5	CHD3	1
ARP5	ACTR5	SRRM2	1
ARP5	ACTR5	PRKDC	1
ARP6_1	ACTR6	RUVBL2	42
